methyl_farnesoate_epoxidase-like_isoform_X1	CYP15A1	Clan_2
methyl_farnesoate_epoxidase-like_isoform_X2	CYP15A1	Clan_2
methyl_farnesoate_epoxidase-like,_partial	CYP15A1	Clan_2
methyltransferase-like_protein_14_homolog_isoform_X2	Other	Other
NADPH--cytochrome_P450_reductase	CYP-R	CYP-R
NADPH--cytochrome_P450_reductase_isoform_X1	CYP-R	CYP-R
NADPH--cytochrome_P450_reductase_isoform_X2	CYP-R	CYP-R
NADPH--cytochrome_P450_reductase_isoform_X3	CYP-R	CYP-R
organic_cation_transporter_protein_isoform_X2	Other	Other
PAB-dependent_poly(A)-specific_ribonuclease_subunit_PAN2_isoform_X2	Other	Other
probable_cytochrome_P450_301a1,_mitochondrial	CYP301A1-mito	Clan_M
probable_cytochrome_P450_301a1,_mitochondrial_isoform_X1	CYP301A1-mito	Clan_M
probable_cytochrome_P450_301a1,_mitochondrial_isoform_X2	CYP301A1-mito	Clan_M
probable_cytochrome_P450_301a1,_mitochondrial_isoform_X3	CYP301A1-mito	Clan_M
probable_cytochrome_P450_303a1	CYP303a1	Clan_2
probable_cytochrome_P450_303a1_isoform_X1	CYP303a1	Clan_2	
probable_cytochrome_P450_303a1_isoform_X2	CYP303a1	Clan_2	
probable_cytochrome_P450_304a1	CYP304a1	Clan_2
probable_cytochrome_P450_304a1_isoform_X2	CYP304a1	Clan_2
probable_cytochrome_P450_49a1	CYP49a1	Clan_M
probable_cytochrome_P450_49a1_isoform_X1	CYP49a1	Clan_M
probable_cytochrome_P450_49a1_isoform_X2	CYP49a1	Clan_M
probable_cytochrome_P450_4aa1	CYP4aa1	Clan_4
probable_cytochrome_P450_4aa1_isoform_X3	CYP4aa1	Clan_4
probable_cytochrome_P450_6a13	CYP6a13	Clan_3
probable_cytochrome_P450_6a13_isoform_X1	CYP6a13	Clan_3
probable_cytochrome_P450_6a13_isoform_X2	CYP6a13	Clan_3
probable_cytochrome_P450_6a13_isoform_X6	CYP6a13	Clan_3
probable_cytochrome_P450_6a14	CYP6a14	Clan_3
probable_cytochrome_P450_6a14_isoform_X1	CYP6a14	Clan_3
probable_cytochrome_P450_6a14_isoform_X2	CYP6a14	Clan_3
probable_cytochrome_P450_6a14_isoform_X4	CYP6a14	Clan_3
probable_cytochrome_P450_6a14_isoform_X5	CYP6a14	Clan_3
probable_cytochrome_P450_6a20	CYP6a20	Clan_3
probable_cytochrome_P450_6a23	CYP6a23	Clan_3
probable_cytochrome_P450_6d5	CYP6d5	Clan_3
ras-related_GTP-binding_protein_A	Other	Other
regulation_of_nuclear_pre-mRNA_domain-containing_protein_1B	Other	Other
replication_factor_C_subunit_2	Other	Other
retrovirus-related_Pol_polyprotein_from_transposon_412_isoform_X1	Other	Other
scm-like_with_four_MBT_domains_protein_1	Other	Other
splicing_factor_ESS-2_homolog	Other	Other
T-complex_protein_1_subunit_beta	Other	Other
uncharacterized_protein_K02A2.6-like	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC100168454	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC103314136	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC110828640	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC110831538	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC110836418	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC110837531	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC110840506	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111055986	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111867241	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111868365_isoform_X1	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111868365_isoform_X2	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111871152	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111871478	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111872029_isoform_X1	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111873247	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC111873963	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC114130251	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC124153185	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC124153186	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC124153187	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC124153250	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC124366719	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC126282394	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC126549830	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC134535043	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC134536217	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC134537257	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC135265258	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC658247	Unchr-prot	Uncharacterized
uncharacterized_protein_LOC659136	Unchr-prot	Uncharacterized
XK-related_protein_6_isoform_X1	Other	Other
